city,city_display,name,address,state,reg_no,reg_level,reg_year,reg_district,reg_serial,reg_app_no,reg_valid,reg_note,district_flag,source_id
bangalore,Bengaluru,GarbhaGudi IVF Centre Pvt Ltd,"No:26,Pattalamma Temple Street, South End Circle, Near Metro station,Basavangudi,Bangalore",KARNATAKA,KA/AC/2022/10231/L1/Bengaluru Urban/067,L1,2022,Bengaluru Urban,067,10231,True,,,189
bangalore,Bengaluru,INDIRA IVF CLINIC (A UNIT OF INDIRA IVF HOSPITAL PVT. LTD.),"SECOND FLOOR, BOOMI PLAZA, NO.560/1, BINNAMANGALA, FIRST STAGE, CMH ROAD, NEAR INDIRA NAGAR METRO, INDIRA NAGAR, BANGALORE",KARNATAKA,KA/AC/2022/10421/L1/Bengaluru Urban/069,L1,2022,Bengaluru Urban,069,10421,True,,,190
bangalore,Bengaluru,INDIRA IVF CLINIC (A UNIT OF INDIRA IVF HOSPITAL PVT. LTD.),"2ND FLOOR, UNNATHI ARCADE. NO. 6, 1ST MAIN ROAD,1ST BLOCK, ABOVE TJSB BANK, DR RAJKUMAR ROAD, RAJAJI NAGAR, BENGALURU",KARNATAKA,KA/AC/2022/10415/L1/Bengaluru Urban/070,L1,2022,Bengaluru Urban,070,10415,True,,,191
bangalore,Bengaluru,INDIRA IVF CLINIC (A UNIT OF INDIRA IVF HOSPITAL PVT. LTD.),"THIRD FLOOR, YH HEIGHTS BUILDING, ABOVE STAR BUCKS COFFEE, 7M-235, 80 FEET ROAD, HRBR LAYOUT, 2ND BLOCK, EXTN. OF HENNUR ROAD, BANASWADI ROAD, KALYAN NAGAR, BANGALORE",KARNATAKA,KA/AC/2022/10424/L1/Bengaluru Urban/072,L1,2022,Bengaluru Urban,072,10424,True,,,192
bangalore,Bengaluru,Usha Vikranth diagnostic center and Hospital,#49 double road near shanmugha temple Rajarajeshwari Nagar Bangalore,KARNATAKA,KA/AC/2023/13897/L1/Bengaluru Urban/076,L1,2023,Bengaluru Urban,076,13897,True,,,195
bangalore,Bengaluru,Santhathi fertility and maternity center,"santhathi fertility and maternity center No 55, first floor, upadhyayara Sangha, ORR service road , near Nagarbhavi circle. Nagarbhavi",KARNATAKA,KA/AC/2022/10862/L1/Bengaluru Urban/077,L1,2022,Bengaluru Urban,077,10862,True,,,196
bangalore,Bengaluru,Aspire Fertility Center,"4th floor, Natus Hospital building, 20/13, Sarjapur - Marathahalli Rd, Carmelaram, Janatha Colony, Doddakannelli, Bengaluru, Karnataka 560035",KARNATAKA,KA/AC/2023/14329/L1/Bengaluru Urban/086,L1,2023,Bengaluru Urban,086,14329,True,,,198
bangalore,Bengaluru,"IVF Access, Koramangala a unit of PN IVF Access Private Limited","2nd Floor, Opposite Mantri Mall, Koramangala 80 Feet Rd, Bengaluru, Karnataka 560095",KARNATAKA,KA/AC/2022/10777/L2/Bengaluru Urban/002,L2,2022,Bengaluru Urban,002,10777,True,,,200
bangalore,Bengaluru,"IVF Access, Rajajinagar a unit of PN IVF Access Private Limited","2nd Floor, 59/1, Dr Rajkumar Rd, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010",KARNATAKA,KA/AC/2022/10780/L2/Bengaluru Urban/003,L2,2022,Bengaluru Urban,003,10780,True,,,201
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE FERTILITY,"# 16/A, 2nd and 3rd Floor, 9th Main, 3rd Block, Jayanagar, Bengaluru 560011",KARNATAKA,KA/AC/2022/10030/L2/Bengaluru Urban/005,L2,2022,Bengaluru Urban,005,10030,True,,,203
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE FERTILITY,"No 29/7, Kodihalli, Old airport Road, Bengaluru 560017",KARNATAKA,KA/AC/2022/10397/L2/Bengaluru Urban/006,L2,2022,Bengaluru Urban,006,10397,True,,,204
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE FERTILITY,"No.47, 17th Cross 11th Main, Malleshwaram Bengaluru 560055",KARNATAKA,KA/AC/2022/11975/L2/Bengaluru Urban/007,L2,2022,Bengaluru Urban,007,11975,True,,,205
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE FERTILITY,"No. 3, Survey no.152/1,152/4, Doddathoguru Village, Electronic City Phase 1, Neeladri Road, Bengaluru South Taluk, Bengaluru - 560100",KARNATAKA,KA/AC/2022/11974/L2/Bengaluru Urban/008,L2,2022,Bengaluru Urban,008,11974,True,,,206
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE HOSPITAL,"Nagarjuna Sai Signet, Plot No.11, Survey No. 88, Whitefield Main Road, Bengaluru 560066",KARNATAKA,KA/AC/2022/10951/L2/Bengaluru Urban/009,L2,2022,Bengaluru Urban,009,10951,True,,,207
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE FERTILITY,"No.4M-411, 1st Floor, 4th Main Road, HRBR layout, 3rd Block, Kammanahalli Main Road, Bengaluru, 560043",KARNATAKA,KA/AC/2022/10998/L2/Bengaluru Urban/010,L2,2022,Bengaluru Urban,010,10998,True,,,208
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE FERTILITY,"Khata No: 2667/1/2501/1, Sahakaranagar, ward No 7, Kodigehalli Main Road, Bengaluru 560092",KARNATAKA,KA/AC/2022/13171/L2/Bengaluru Urban/011,L2,2022,Bengaluru Urban,011,13171,True,,,209
bangalore,Bengaluru,Ankur Healthcare Private Limited,"No 55, 20th Main,1st Block, West of Chord Road, Next to Bhima Jewelry, Rajajinagar, Bangalore",KARNATAKA,KA/AC/2022/10715/L2/Bengaluru Urban/012,L2,2022,Bengaluru Urban,012,10715,True,,,210
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE FERTILITY,"No.766 And 767, Narayana Nagar, 1st Block, Doddakallasandra Village, Kanakapura Road Bengaluru-560062",KARNATAKA,KA/AC/2023/13933/L2/Bengaluru Urban/013,L2,2023,Bengaluru Urban,013,13933,True,,,211
bangalore,Bengaluru,KIDS CLINIC INDIA LIMITED CLOUDNINE FERTILITY,"No.1/79/4, Bellandur Village, Varthur Hobli, Bengaluru East Taluk, Bengaluru 560103",KARNATAKA,KA/AC/2023/13945/ L2/Bengaluru Urban/014,L2,2023,Bengaluru Urban,014,13945,True,,,212
bangalore,Bengaluru,AIKYA FERTILITY AND RESEARCH CENTER,"166,1st Floor,ITI LAYOUT,NEAR INDIRA GANDHI CIRCLE,J.P..NAGAR 1ST PHASE,ABOVE DMART.BENGALURU",KARNATAKA,KA/AC/2022/10057/L2/Bengaluru Urban/015,L2,2022,Bengaluru Urban,015,10057,True,,,213
